log_id,occurred_at,source,incident_category,risk,pii_status,pii_summary,analyzer_reason,redacted_log
LOG-1763387147284-175,2025-11-17T13:45:42.035Z,웹 애플리케이션,monitoring,Safe,No PII pattern,"민감 PII는 없고, IP 주소 1건만 탐지됨 (정규식 기준).","로그인 성공 로그는 정상적인 사용자 인증 활동을 나타내며, 계정 'alice'의 성공적인 접근 기록이 확인됩니다. 시스템 상태 코드 200과 응답 시간(133ms)이 정상 범위 내에 있고, 외부 전송 또는 비정상 접근 패턴과 같은 위험 요소가 관측되지 않았습니다. 마스킹된 토큰([IP]) 외에 추가 민감정보가 노출되지 않았습니다.","2025-11-17T13:45:42.035Z WEB_APP[http] INFO login success user=alice src_ip=[IP] method=POST path=""/login"" status=200 resp_time=133ms ua=""Chrome/120"""
LOG-1763387153225-848,2025-11-17T13:45:48.032Z,웹 애플리케이션,monitoring,Safe,No PII pattern,"민감 PII는 없고, IP 주소 1건만 탐지됨 (정규식 기준).","정상적인 로그인 성공 로그로, 사용자 'alice'가 POST 방식으로 /login 경로에 접근해 성공한 기록이며, 응답 시간(114ms)과 상태 코드(200)가 정상 범위 내에 있음. 외부 전송이나 비정상 접근 패턴이 확인되지 않음. 유사 인시던트 사례도 위험도 미분류 상태이며 명확한 위험 요소 부재","2025-11-17T13:45:48.032Z WEB_APP[http] INFO login success user=alice src_ip=[IP] method=POST path=""/login"" status=200 resp_time=114ms ua=""Chrome/120"""
LOG-1763387158839-631,2025-11-17T13:45:54.036Z,시스템 배치/감사,monitoring,Medium,No PII pattern,정규식 기준 민감 PII 패턴 미탐지,"정기적인 백업 작업 로그로, 시스템 상태 확인 목적의 정상 동작입니다. 오류 발생 없이 완료되었으며 외부 전송이나 민감한 데이터 처리 증거가 없습니다.","2025-11-17T13:45:54.036Z cron[backup] INFO job=nightly_full_backup status=OK duration=385s errors=0 target=""nas01:/backup/db_full"""
LOG-1763387164921-111,2025-11-17T13:46:00.039Z,파일 서버,monitoring,Safe,No PII pattern,"민감 PII는 없고, IP 주소 1건만 탐지됨 (정규식 기준).","로그 내용은 staff02 계정이 파일 서버에서 매뉴얼 문서(/dept/shared/manual_v3.pdf)를 정상적으로 읽은 INFO 레벨 기록입니다. 계정 활동, 파일 경로, 데이터 크기 모두 내부 업무 용도에 부합하며, 민감정보 토큰이 발견되지 않았고, 외부 전송이나 반복 시도 등 위험 행위가 관찰되지 않았습니다. 시스템 정상 동작 범위에 해당합니다.","2025-11-17T13:46:00.039Z FILESRV[access] INFO user=staff02 op=read path=""/dept/shared/manual_v3.pdf"" size=1744KB src_ip=[IP] result=OK"
LOG-1763387171338-766,2025-11-17T13:46:06.041Z,시스템 배치/감사,monitoring,Safe,No PII pattern,정규식 기준 민감 PII 패턴 미탐지,"INFO 레벨의 정기 헬스체크 로그로, 시스템 자원 사용량(cpu=48.7%, mem=36.8%, disk=70%)과 서비스 상태(svc=web_app:UP,db:UP)만 포함되어 있으며, 민감정보 토큰이나 비정상 행위가 확인되지 않음","2025-11-17T13:46:06.041Z monitor[agent] INFO healthcheck ok cpu=48.7% mem=36.8% disk=/ 70% svc=web_app:UP,db:UP"
LOG-1763387176901-684,2025-11-17T13:46:12.034Z,웹 애플리케이션,monitoring,Safe,No PII pattern,"민감 PII는 없고, IP 주소 1건만 탐지됨 (정규식 기준).","로그인 성공 로그이며, 사용자 carol이 정상적으로 인증 후 시스템에 접근한 기록입니다. 비정상 접근, 반복 실패, 민감정보 전송 등의 위험 요소가 확인되지 않습니다. src_ip는 내부 IP로 추정되며, 일반적인 웹 애플리케이션의 모니터링 로그에 해당합니다.","2025-11-17T13:46:12.034Z WEB_APP[http] INFO login success user=carol src_ip=[IP] method=POST path=""/login"" status=200 resp_time=177ms ua=""Chrome/120"""
LOG-1763387183436-713,2025-11-17T13:46:18.036Z,시스템 배치/감사,monitoring,Safe,No PII pattern,정규식 기준 민감 PII 패턴 미탐지,"헬스체크 로그로 시스템 상태(cpu, mem, disk, svc)를 주기적으로 확인하는 정상 모니터링 동작입니다. INFO 레벨 로그이며 개인정보 또는 계정 정보가 포함되지 않았습니다.","2025-11-17T13:46:18.036Z monitor[agent] INFO healthcheck ok cpu=21.7% mem=52.1% disk=/ 70% svc=web_app:UP,db:UP"
LOG-1763387190393-876,2025-11-17T13:46:24.037Z,웹 애플리케이션,monitoring,Safe,No PII pattern,"민감 PII는 없고, IP 주소 1건만 탐지됨 (정규식 기준).","로그인 성공 로그는 정상 시스템 동작을 나타내며, 민감정보 토큰([EMAIL], [PHONE], [CARD], [RRN])이 포함되지 않았습니다. 추가적인 비정상 패턴(예: 반복 실패, 비정상 접근 시간) 또는 외부 전송 시도가 확인되지 않습니다.","2025-11-17T13:46:24.037Z WEB_APP[http] INFO login success user=user123 src_ip=[IP] method=POST path=""/login"" status=200 resp_time=75ms ua=""Chrome/120"""
LOG-1763387195349-601,2025-11-17T13:46:30.039Z,시스템 배치/감사,monitoring,Medium,No PII pattern,정규식 기준 민감 PII 패턴 미탐지,"로그는 예약된 nightly_full_backup 작업이 정상적으로 완료되었음을 나타내는 시스템 모니터링 정보입니다. 오류가 없고, 비정상적인 접근 또는 데이터 전송 시도가 확인되지 않았습니다. 백업 작업은 일반적인 시스템 유지보수 절차에 해당합니다.","2025-11-17T13:46:30.039Z cron[backup] INFO job=nightly_full_backup status=OK duration=849s errors=0 target=""nas01:/backup/db_full"""
LOG-1763387200700-948,2025-11-17T13:46:36.036Z,시스템 배치/감사,monitoring,Safe,No PII pattern,정규식 기준 민감 PII 패턴 미탐지,"해당 로그는 시스템 상태 확인(healthcheck)을 위한 모니터링 로그이며, CPU/메모리/디스크 사용률 및 서비스 상태만 기록되어 있습니다. 비정상 접근이나 민감정보 노출 없이 정상적인 시스템 동작 범위를 벗어나지 않습니다.","2025-11-17T13:46:36.036Z monitor[agent] INFO healthcheck ok cpu=33.5% mem=40.9% disk=/ 70% svc=web_app:UP,db:UP"
