log_id,occurred_at,source,incident_category,risk,pii_status,pii_summary,analyzer_reason,redacted_log
LOG-1763372039690-449,2025-11-17T09:33:54.047Z,시스템 배치/감사,monitoring,Medium,No PII pattern,정규식 기준 민감 PII 패턴 미탐지,"해당 로그는 정기적인 야간 전체 백업 작업이 정상적으로 완료되었음을 나타내는 시스템 모니터링 로그입니다. 외부 전송이나 대량 민감정보 처리 없이 내부 스토리지(nas01:/backup/db_full)로의 단순 백업 작업이며, 오류 없이 완료되었습니다. 로그 내 마스킹된 민감정보 토큰이 존재하지 않으며, 반복 실패나 비정상 접근 시도도 확인되지 않습니다.","2025-11-17T09:33:54.047Z cron[backup] INFO job=nightly_full_backup status=OK duration=622s errors=0 target=""nas01:/backup/db_full"""
LOG-1763372045009-853,2025-11-17T09:34:00.044Z,오브젝트 스토리지,misconfiguration,High,No PII pattern,정규식 기준 민감 PII 패턴 미탐지,"cloud_user 계정이 'internal-docs' 버킷 내 'project_plan_v2.pdf' 객체에 만료 기한 없이 공개 링크(public-read ACL)를 생성했습니다. 이는 내부 문서가 무단으로 외부 유출될 수 있는 심각한 설정 오류로, S3 버킷의 기본 보안 정책 위반 가능성이 있습니다. 로그 내 민감정보 토큰은 발견되지 않았으나, 객체 이름이 'project_plan_v2.pdf'로 내부 문서임을 유추할 수 있어 추가 조사가 필요합니다.","2025-11-17T09:34:00.044Z S3GW[audit] WARN user=cloud_user created_public_link bucket=""internal-docs"" object=""project_plan_v2.pdf"" expiry=none acl=""public-read"""
LOG-1763372050898-528,2025-11-17T09:34:06.037Z,시스템 배치/감사,monitoring,Safe,No PII pattern,정규식 기준 민감 PII 패턴 미탐지,"해당 로그는 시스템 건강 상태 체크를 위한 모니터링 로그로, CPU/메모리/디스크 사용률과 서비스 상태를 보고하는 정상적인 시스템 운영 활동입니다. 'healthcheck ok' 상태를 확인하며, 민감정보 토큰([EMAIL], [PHONE], [CARD], [RRN])이 전혀 포함되어 있지 않습니다. 외부 전송이나 비정상적 접근 징후가 관찰되지 않으며, 유사 사례와 동일한 'monitoring' 범주에 해당합니다.","2025-11-17T09:34:06.037Z monitor[agent] INFO healthcheck ok cpu=34.2% mem=30.0% disk=/ 70% svc=web_app:UP,db:UP"
LOG-1763372056950-482,2025-11-17T09:34:12.034Z,웹 애플리케이션,monitoring,Safe,No PII pattern,"민감 PII는 없고, IP 주소 1건만 탐지됨 (정규식 기준).","로그에서 'login success' 메시지가 확인되며, 사용자 'bob'의 정상적인 로그인 성공 이벤트를 나타냅니다. src_ip, ua(User-Agent) 등 외부 접근 정보가 마스킹되어 있고, 민감정보 토큰([EMAIL], [PHONE] 등)이 포함되지 않았습니다. status=200(성공)과 resp_time=91ms(정상 응답 시간)로 비정상적인 징후가 없습니다. 단일 성공 로그는 계정 악용이나 설정 오류로 판단할 근거가 부족합니다.","2025-11-17T09:34:12.034Z WEB_APP[http] INFO login success user=bob src_ip=[IP] method=POST path=""/login"" status=200 resp_time=91ms ua=""Chrome/120"""
LOG-1763372063302-901,2025-11-17T09:34:18.040Z,시스템 배치/감사,monitoring,Safe,No PII pattern,정규식 기준 민감 PII 패턴 미탐지,"해당 로그는 'monitor[agent]' 프로세스에 의해 생성된 정상적인 헬스체크 로그입니다. 시스템 리소스 사용량(cpu=10.4%, mem=39.9%, disk=70%)과 서비스 상태(svc=web_app:UP,db:UP)가 안정적으로 보고되었으며, 로그 내 민감정보 토큰([EMAIL], [PHONE], [CARD], [RRN])이 전혀 포함되지 않았습니다. 외부 전송이나 비정상 접근 징후가 없는 단순 모니터링 활동으로 판단됩니다.","2025-11-17T09:34:18.040Z monitor[agent] INFO healthcheck ok cpu=10.4% mem=39.9% disk=/ 70% svc=web_app:UP,db:UP"
LOG-1763372069080-537,2025-11-17T09:34:24.037Z,CRM 시스템,exfiltration,High,No PII pattern,정규식 기준 민감 PII 패턴 미탐지,"CRM 시스템에서 고객 데이터(이름, [PHONE], [EMAIL]) 1,975건을 XLSX 형식으로 대량 내보내기 수행. 필터링 조건(recent_signup&vip)이 추가되었으나, 대량 PII 데이터 전송 시 개인정보 유출 가능성이 높음. 특히 VIP 고객 정보가 포함될 수 있어 추가적인 리스크가 존재함. 기존 유사 사례([예시 1])에서도 유사한 패턴이 High 위험도로 분류된 바 있음.","2025-11-17T09:34:24.037Z CRM[export] INFO user=analyst01 op=export object=customer rows=1975 fields=""name,phone,email"" filter=""recent_signup&vip"" format=xlsx"
LOG-1763372074721-124,2025-11-17T09:34:30.042Z,시스템 배치/감사,monitoring,Safe,No PII pattern,정규식 기준 민감 PII 패턴 미탐지,"해당 로그는 시스템 상태 확인(healthcheck)을 위한 정상적인 모니터링 로그입니다. 'monitor[agent]' 프로세스에서 주기적으로 수행하는 CPU, 메모리, 디스크 사용량 및 서비스 상태 점검 활동으로, 외부로 데이터 유출이나 계정 악용 징후가 없습니다. 로그 내 [EMAIL], [PHONE], [CARD], [RRN] 등 민감정보 토큰이 존재하지 않으며, 단순 시스템 운영 지표로 판단됩니다.","2025-11-17T09:34:30.041Z monitor[agent] INFO healthcheck ok cpu=48.4% mem=25.1% disk=/ 70% svc=web_app:UP,db:UP"
LOG-1763372080727-291,2025-11-17T09:34:36.032Z,시스템 배치/감사,monitoring,Medium,No PII pattern,정규식 기준 민감 PII 패턴 미탐지,"정기적인 야간 전체 백업 작업이 정상적으로 완료되었으며, 오류 없이 465초 동안 수행됨. PII 데이터 처리나 외부 전송이 확인되지 않으며, 시스템 상태 모니터링 목적의 내부 로그로 판단됨. 로그에 민감정보 토큰([EMAIL], [PHONE], [CARD], [RRN])이 포함되어 있지 않음.","2025-11-17T09:34:36.032Z cron[backup] INFO job=nightly_full_backup status=OK duration=465s errors=0 target=""nas01:/backup/db_full"""
LOG-1763372087005-155,2025-11-17T09:34:42.038Z,시스템 배치/감사,monitoring,Safe,No PII pattern,정규식 기준 민감 PII 패턴 미탐지,"해당 로그는 'monitor[agent]'를 통해 수행된 시스템 상태 확인(healthcheck) 기록으로, 모든 서비스(web_app, db)가 정상적으로 작동 중(cpu=35.9%, mem=44.5%, disk=70%)임을 나타냅니다. 민감정보 토큰([EMAIL], [PHONE], [CARD], [RRN])이 전혀 포함되지 않았으며, 외부 전송이나 비정상 접근 패턴도 관찰되지 않았습니다. 유사한 인시던트 사례에서도 단순 모니터링 로그는 'Safe'로 분류된 바 있습니다.","2025-11-17T09:34:42.038Z monitor[agent] INFO healthcheck ok cpu=35.9% mem=44.5% disk=/ 70% svc=web_app:UP,db:UP"
LOG-1763372093647-892,2025-11-17T09:34:48.037Z,오브젝트 스토리지,misconfiguration,High,No PII pattern,정규식 기준 민감 PII 패턴 미탐지,"클라우드 사용자(cloud_user)가 내부 문서 버킷(internal-docs)에 공개된 링크(public-read ACL)를 생성했으며 만료 기한(expiry=none)이 설정되지 않았습니다. 이는 의도치 않은 개인정보 유출(exfiltration)로 이어질 수 있는 심각한 설정 오류(misconfiguration)입니다. S3 게이트웨이 감사 로그에서 'public-read' 권한 부여 시 반드시 만료 기간을 지정해야 하지만, 해당 로그에는 만료 설정이 누락되었습니다. [EMAIL], [PHONE] 등 PII 토큰은 직접 노출되지 않았으나, 버킷 내 저장된 문서에 민감정보가 포함될 경우 대규모 유출 가능성이 존재합니다.","2025-11-17T09:34:48.037Z S3GW[audit] WARN user=cloud_user created_public_link bucket=""internal-docs"" object=""project_plan_v2.pdf"" expiry=none acl=""public-read"""
