log_id,occurred_at,source,incident_category,risk,pii_status,pii_summary,analyzer_reason,redacted_log
LOG-1763476611224-963,2025-11-18T14:36:48.057Z,파일 서버,monitoring,Safe,No PII pattern,"민감 PII는 없고, IP 주소 1건만 탐지됨 (정규식 기준).",알려진 위험 패턴이나 민감 PII가 포함되지 않은 일반 로그입니다.,"2025-11-18T14:36:48.057Z FILESRV[access] INFO user=staff01 op=read path=""/dept/shared/manual_v3.pdf"" size=1045KB src_ip=[IP] result=OK"
LOG-1763476617191-472,2025-11-18T14:36:54.048Z,시스템 배치/감사,exfiltration,Medium,No PII pattern,정규식 기준 민감 PII 패턴 미탐지,데이터 유출/공격/오류 관련 키워드가 포함되어 있음.,"2025-11-18T14:36:54.048Z cron[backup] INFO job=nightly_full_backup status=OK duration=258s errors=0 target=""nas01:/backup/db_full"""
LOG-1763476623202-939,2025-11-18T14:37:00.074Z,웹 애플리케이션,monitoring,Safe,No PII pattern,"민감 PII는 없고, IP 주소 1건만 탐지됨 (정규식 기준).",알려진 위험 패턴이나 민감 PII가 포함되지 않은 일반 로그입니다.,"2025-11-18T14:37:00.074Z WEB_APP[http] INFO login success user=alice src_ip=[IP] method=POST path=""/login"" status=200 resp_time=125ms ua=""Chrome/120"""
LOG-1763476629202-918,2025-11-18T14:37:06.051Z,웹 애플리케이션,monitoring,Medium,No PII pattern,"민감 PII는 없고, IP 주소 1건만 탐지됨 (정규식 기준).",데이터 유출/공격/오류 관련 키워드가 포함되어 있음.,"2025-11-18T14:37:06.051Z WEB_APP[waf] WARN sqli_detected user=tester src_ip=[IP] uri=""/login"" param=""id=' OR '1'='1"" action=blocked"
LOG-1763476638264-513,2025-11-18T14:37:12.054Z,CRM 시스템,exfiltration,High,No PII pattern,정규식 기준 민감 PII 패턴 미탐지,"crm_admin 계정이 고객 정보(이름, [PHONE], [EMAIL]) 3,772건을 XLSX 형식으로 대량 수출한 이력이 확인됩니다. VIP 고객 필터링과 대량 데이터 전송은 개인정보 유출(exfiltration) 가능성을 시사합니다. 계정 권한·목적·데이터 양 측면에서 즉각적인 조사가 필요합니다.","2025-11-18T14:37:12.054Z CRM[export] INFO user=crm_admin op=export object=customer rows=3772 fields=""name,phone,email"" filter=""recent_signup&vip"" format=xlsx"
LOG-1763476641181-962,2025-11-18T14:37:18.061Z,파일 서버,monitoring,Safe,No PII pattern,"민감 PII는 없고, IP 주소 1건만 탐지됨 (정규식 기준).",알려진 위험 패턴이나 민감 PII가 포함되지 않은 일반 로그입니다.,"2025-11-18T14:37:18.061Z FILESRV[access] INFO user=design01 op=read path=""/dept/shared/manual_v3.pdf"" size=1361KB src_ip=[IP] result=OK"
LOG-1763476649415-468,2025-11-18T14:37:24.054Z,로그인 게이트웨이,credential_abuse,Medium,No PII pattern,"민감 PII는 없고, IP 주소 1건만 탐지됨 (정규식 기준).","11회의 연속된 로그인 실패 시도가 발생했으나 계정 잠금(lockout)이 활성화되지 않았습니다. 관리자 계정(admin01)에 대한 반복적인 접근은 계정 탈취 시도 가능성을 시사하며, 잠금 기능 미적용으로 인한 추가 공격 우려가 있습니다. 다만 외부 IP([IP])로의 데이터 유출이나 실제 계정 접근 성공 증거는 확인되지 않았습니다.",2025-11-18T14:37:24.054Z LOGIN_GW[auth] WARN too_many_failed_login user=admin01 fail_count=11 src_ip=[IP] lockout=false
LOG-1763476653186-504,2025-11-18T14:37:30.072Z,파일 서버,monitoring,Safe,No PII pattern,"민감 PII는 없고, IP 주소 1건만 탐지됨 (정규식 기준).",알려진 위험 패턴이나 민감 PII가 포함되지 않은 일반 로그입니다.,"2025-11-18T14:37:30.072Z FILESRV[access] INFO user=staff02 op=read path=""/dept/shared/manual_v3.pdf"" size=1444KB src_ip=[IP] result=OK"
LOG-1763476662156-658,2025-11-18T14:37:36.065Z,파일 서버,exfiltration,High,No PII pattern,정규식 기준 민감 PII 패턴 미탐지,"파일 서버 공유 경로(/export/event_campaign_export.zip)에 'Everyone' 권한을 Read로 설정한 이벤트입니다. 8,731행(0.8GB)의 대량 데이터를 익명 링크로 접근 가능하게 만들어 개인정보 유출 가능성이 있으나, 로그 내 [EMAIL], [PHONE], [CARD], [RRN] 토큰이 확인되지 않아 확실한 유출 증거는 없습니다. 다만 대량 데이터 공유 시 민감정보 포함 여부를 추가 검증해야 합니다.","2025-11-18T14:37:36.065Z FILESRV[share] ALERT user=marketing01 set_share path=""/export/event_campaign_export.zip"" perm=""Everyone,Read"" rows=8731 size=0.8GB link_type=""anonymous"""
LOG-1763476671355-435,2025-11-18T14:37:48.053Z,시스템 배치/감사,exfiltration,Medium,No PII pattern,정규식 기준 민감 PII 패턴 미탐지,데이터 유출/공격/오류 관련 키워드가 포함되어 있음.,"2025-11-18T14:37:48.053Z cron[backup] INFO job=nightly_full_backup status=OK duration=818s errors=0 target=""nas01:/backup/db_full"""
